Date,Close,Open,High,Low,Volume,Change
2020-01-02,75.09,74.06,75.15,73.8,135650000.0,0.0229
2020-01-03,74.36,74.29,75.14,74.12,146540000.0,-0.0097
2020-01-06,74.95,73.45,74.99,73.19,118580000.0,0.0079
2020-01-07,74.6,74.96,75.22,74.37,111510000.0,-0.004699999999999999
2020-01-08,75.8,74.29,76.11,74.29,132360000.00000001,0.0161
2020-01-09,77.41,76.81,77.61,76.55,170490000.0,0.0212
2020-01-10,77.58,77.65,78.17,77.06,140870000.0,0.0022
2020-01-13,79.24,77.91,79.27,77.79,122090000.0,0.021400000000000002
2020-01-14,78.17,79.17,79.39,78.04,162610000.0,-0.013500000000000002
2020-01-15,77.83,77.96,78.88,77.39,121920000.0,-0.0043
2020-01-16,78.81,78.4,78.92,78.02,108830000.0,0.0126
2020-01-17,79.68,79.07,79.69,78.75,137820000.0,0.011000000000000001
2020-01-21,79.14,79.3,79.75,79.0,110840000.0,-0.0068000000000000005
2020-01-22,79.42,79.64,80.0,79.33,101830000.0,0.0034999999999999996
2020-01-23,79.81,79.48,79.89,78.91,104470000.0,0.0049
2020-01-24,79.58,80.06,80.83,79.38,146540000.0,-0.0029
2020-01-27,77.24,77.52,77.94,76.22,161940000.0,-0.0294
2020-01-28,79.42,78.15,79.6,78.05,162230000.0,0.0282
2020-01-29,81.08,81.11,81.96,80.34,216600000.0,0.0209
2020-01-30,80.97,80.14,81.02,79.69,126740000.0,-0.0014000000000000002
2020-01-31,77.38,80.23,80.67,77.07,199590000.0,-0.0443
2020-02-03,77.17,76.08,78.37,75.56,173990000.0,-0.0027
2020-02-04,79.71,78.83,79.91,78.41,136620000.0,0.0329
2020-02-05,80.36,80.88,81.19,79.74,118830000.0,0.008199999999999999
2020-02-06,81.3,80.64,81.31,80.07,105430000.0,0.011699999999999999
2020-02-07,80.01,80.59,80.85,79.5,117680000.0,-0.0159
2020-02-10,80.39,78.55,80.39,78.46,109350000.0,0.004699999999999999
2020-02-11,79.9,80.9,80.97,79.68,94320000.0,-0.0060999999999999995
2020-02-12,81.8,80.37,81.81,80.37,113730000.0,0.023799999999999998
2020-02-13,81.22,81.05,81.56,80.84,94750000.0,-0.0070999999999999995
2020-02-14,81.24,81.19,81.5,80.71,80110000.0,0.0002
2020-02-18,79.75,78.84,79.94,78.65,152760000.0,-0.0183
2020-02-19,80.91,80.0,81.14,80.0,93980000.0,0.014499999999999999
2020-02-20,80.08,80.66,81.16,79.55,100570000.0,-0.0103
2020-02-21,78.26,79.66,80.11,77.62,129710000.00000001,-0.0227
2020-02-24,74.55,74.31,76.05,72.31,222200000.0,-0.047400000000000005
2020-02-25,72.02,75.24,75.63,71.53,230670000.0,-0.0339
2020-02-26,73.16,71.63,74.47,71.62,198710000.0,0.0158
2020-02-27,68.38,70.28,71.5,68.24,320610000.0,-0.0653
2020-02-28,68.34,64.31,69.6,64.09,426880000.0,-0.0006
2020-03-02,74.7,70.57,75.36,69.43,341400000.0,0.0931
2020-03-03,72.33,75.92,76.0,71.45,319480000.0,-0.0317
2020-03-04,75.69,74.11,75.85,73.28,219180000.0,0.04650000000000001
2020-03-05,73.23,73.88,74.89,72.85,187570000.0,-0.0325
2020-03-06,72.26,70.5,72.7,70.31,226180000.0,-0.0132
2020-03-09,66.54,65.94,69.52,65.75,286740000.0,-0.07919999999999999
2020-03-10,71.33,69.28,71.61,67.34,285290000.0,0.07200000000000001
2020-03-11,68.86,69.35,70.31,67.97,256380000.0,-0.0346
2020-03-12,62.06,63.98,67.5,62.0,418470000.0,-0.09880000000000001
2020-03-13,69.49,66.22,69.98,63.24,370730000.0,0.1197
2020-03-16,60.55,60.49,64.77,60.0,322420000.0,-0.12869999999999998
2020-03-17,63.22,61.88,64.4,59.6,324060000.0,0.0441
2020-03-18,61.67,59.94,62.5,59.28,300230000.0,-0.0245
2020-03-19,61.2,61.85,63.21,60.65,271860000.0,-0.0076
2020-03-20,57.31,61.8,62.96,57.0,401690000.0,-0.0636
2020-03-23,56.09,57.02,57.12,53.15,336750000.0,-0.0213
2020-03-24,61.72,59.09,61.92,58.58,287530000.0,0.10039999999999999
2020-03-25,61.38,62.69,64.56,61.08,303600000.0,-0.0055000000000000005
2020-03-26,64.61,61.63,64.67,61.59,252560000.0,0.0526
2020-03-27,61.94,63.19,63.97,61.76,204220000.0,-0.041299999999999996
2020-03-30,63.7,62.69,63.88,62.35,167980000.0,0.028399999999999998
2020-03-31,63.57,63.9,65.62,63.0,197000000.0,-0.002
2020-04-01,60.23,61.62,62.18,59.78,176220000.0,-0.0525
2020-04-02,61.23,60.09,61.29,59.23,165930000.0,0.0166
2020-04-03,60.35,60.7,61.42,59.74,129880000.0,-0.0144
2020-04-06,65.62,62.73,65.78,62.34,201820000.0,0.0873
2020-04-07,64.86,67.7,67.92,64.75,202890000.0,-0.0116
2020-04-08,66.52,65.69,66.84,65.31,168900000.0,0.0256
2020-04-09,67.0,67.17,67.52,66.17,162120000.0,0.0072
2020-04-13,68.31,67.08,68.42,66.46,131020000.00000001,0.0196
2020-04-14,71.76,70.0,72.06,69.51,194990000.0,0.050499999999999996
2020-04-15,71.11,70.6,71.58,70.16,131150000.0,-0.0091
2020-04-16,71.67,71.84,72.05,70.59,157130000.0,0.0079
2020-04-17,70.7,71.17,71.74,69.22,215250000.0,-0.013500000000000002
2020-04-20,69.23,69.49,70.42,69.21,130020000.00000001,-0.0208
2020-04-21,67.09,69.07,69.31,66.36,180990000.0,-0.030899999999999997
2020-04-22,69.03,68.4,69.47,68.05,117060000.0,0.028900000000000002
2020-04-23,68.76,68.97,70.44,68.72,124810000.0,-0.0039000000000000003
2020-04-24,70.74,69.3,70.75,69.25,126510000.0,0.0288
2020-04-27,70.79,70.45,71.14,69.99,117090000.0,0.0007000000000000001
2020-04-28,69.64,71.27,71.46,69.55,112000000.0,-0.016200000000000003
2020-04-29,71.93,71.18,72.42,70.97,137280000.0,0.0329
2020-04-30,73.45,72.49,73.63,72.09,183060000.0,0.021099999999999997
2020-05-01,72.27,71.56,74.75,71.46,240620000.0,-0.0161
2020-05-04,73.29,72.29,73.42,71.58,133570000.0,0.0141
2020-05-05,74.39,73.77,75.25,73.61,147750000.0,0.015
2020-05-06,75.16,75.11,75.81,74.72,142330000.0,0.0104
2020-05-07,75.94,75.81,76.29,75.49,115220000.0,0.0104
2020-05-08,77.53,76.41,77.59,76.07,134050000.00000001,0.0209
2020-05-11,78.75,77.03,79.26,76.81,145950000.0,0.015700000000000002
2020-05-12,77.85,79.46,79.92,77.73,162300000.0,-0.011399999999999999
2020-05-13,76.91,78.04,78.99,75.8,200620000.0,-0.0121
2020-05-14,77.39,76.13,77.45,75.38,158930000.0,0.0062
2020-05-15,76.93,75.09,76.97,75.05,166350000.0,-0.0059
2020-05-18,78.74,78.29,79.12,77.58,135370000.0,0.0235
2020-05-19,78.28,78.76,79.63,78.25,101730000.0,-0.0058
2020-05-20,79.81,79.17,79.88,79.05,111500000.0,0.0195
2020-05-21,79.21,79.67,80.22,78.97,102690000.0,-0.0075
2020-05-22,79.72,78.94,79.81,78.84,81800000.0,0.0064
2020-05-26,79.18,80.88,81.06,79.12,125520000.0,-0.0068000000000000005
2020-05-27,79.53,79.03,79.68,78.27,112950000.0,0.0044
2020-05-28,79.56,79.19,80.86,78.91,133800000.00000001,0.0004
2020-05-29,79.48,79.81,80.29,79.12,153600000.0,-0.001
2020-06-01,80.46,79.44,80.59,79.3,81020000.0,0.0123
2020-06-02,80.83,80.19,80.86,79.73,87640000.0,0.0046
2020-06-03,81.28,81.17,81.55,80.58,104490000.0,0.005600000000000001
2020-06-04,80.58,81.1,81.41,80.19,87560000.0,-0.0086
2020-06-05,82.88,80.84,82.94,80.81,137250000.0,0.0285
2020-06-08,83.36,82.56,83.4,81.83,95650000.0,0.0058
2020-06-09,86.0,83.03,86.4,83.0,147710000.0,0.0317
2020-06-10,88.21,86.97,88.69,86.52,166650000.0,0.025699999999999997
2020-06-11,83.97,87.33,87.77,83.87,201660000.0,-0.0481
2020-06-12,84.7,86.18,86.95,83.56,200150000.0,0.0087
2020-06-15,85.75,83.31,86.42,83.14,138810000.0,0.0124
2020-06-16,88.02,87.86,88.3,86.18,165430000.0,0.0265
2020-06-17,87.9,88.79,88.85,87.77,114410000.0,-0.0014000000000000002
2020-06-18,87.93,87.85,88.36,87.31,96820000.0,0.0003
2020-06-19,87.43,88.66,89.14,86.29,264480000.00000003,-0.005699999999999999
2020-06-22,89.72,87.83,89.86,87.79,135450000.0,0.0262
2020-06-23,91.63,91.0,93.09,90.57,212160000.0,0.0213
2020-06-24,90.02,91.25,92.2,89.63,192620000.0,-0.0176
2020-06-25,91.21,90.17,91.25,89.39,137520000.0,0.0132
2020-06-26,88.41,91.1,91.33,88.25,205260000.0,-0.030699999999999998
2020-06-29,90.44,88.31,90.54,87.82,130650000.0,0.023
2020-06-30,91.2,90.02,91.5,90.0,140220000.0,0.0084
2020-07-01,91.03,91.28,91.84,90.98,110740000.0,-0.0019
2020-07-02,91.03,91.96,92.62,90.91,114040000.0,0.0
2020-07-06,93.46,92.5,93.94,92.47,118660000.0,0.026699999999999998
2020-07-07,93.17,93.85,94.66,93.06,112420000.0,-0.0031
2020-07-08,95.34,94.18,95.38,94.09,117090000.0,0.0233
2020-07-09,95.68,96.26,96.32,94.67,125640000.0,0.0036
2020-07-10,95.92,95.33,95.98,94.71,90260000.0,0.0025
2020-07-13,95.48,97.27,99.95,95.26,191650000.0,-0.0046
2020-07-14,97.06,94.84,97.25,93.88,170990000.0,0.0165
2020-07-15,97.72,98.99,99.25,96.49,153200000.0,0.0068000000000000005
2020-07-16,96.52,96.56,97.41,95.91,110580000.0,-0.0123
2020-07-17,96.33,96.99,97.15,95.84,92190000.0,-0.002
2020-07-20,98.36,96.42,98.5,96.06,90320000.0,0.021099999999999997
2020-07-21,97.0,99.17,99.25,96.74,103650000.0,-0.0138
2020-07-22,97.27,96.69,97.97,96.6,89000000.0,0.0028000000000000004
2020-07-23,92.84,97.0,97.08,92.01,197000000.0,-0.0455
2020-07-24,92.61,90.99,92.97,89.14,185440000.0,-0.0025
2020-07-27,94.81,93.71,94.91,93.48,121210000.0,0.023799999999999998
2020-07-28,93.25,94.37,94.55,93.25,103630000.0,-0.0165
2020-07-29,95.04,93.75,95.23,93.71,90330000.0,0.0192
2020-07-30,96.19,94.19,96.3,93.77,158130000.0,0.0121
2020-07-31,106.26,102.88,106.42,100.83,374300000.0,0.1047
2020-08-03,108.94,108.2,111.64,107.89,308150000.0,0.0252
2020-08-04,109.67,109.13,110.79,108.39,172790000.0,0.0067
2020-08-05,110.06,109.38,110.39,108.9,121990000.0,0.0036
2020-08-06,113.9,110.41,114.41,109.8,202430000.0,0.0349
2020-08-07,111.11,113.2,113.67,110.29,198050000.0,-0.0245
2020-08-10,112.73,112.6,113.78,110.0,212400000.0,0.0146
2020-08-11,109.38,111.97,112.48,109.11,187900000.0,-0.0297
2020-08-12,113.01,110.5,113.28,110.3,165940000.0,0.0332
2020-08-13,115.01,114.43,116.04,113.93,210080000.0,0.0177
2020-08-14,114.91,114.83,115.0,113.05,165570000.0,-0.0009
2020-08-17,114.61,116.06,116.09,113.96,119560000.0,-0.0026
2020-08-18,115.56,114.35,116.0,114.01,105630000.0,0.0083
2020-08-19,115.71,115.98,117.16,115.61,145540000.0,0.0013
2020-08-20,118.28,115.75,118.39,115.73,126910000.0,0.0222
2020-08-21,124.37,119.26,124.87,119.25,338050000.0,0.051500000000000004
2020-08-24,125.86,128.7,128.78,123.94,345940000.0,0.012
2020-08-25,124.83,124.7,125.18,123.05,211500000.0,-0.008199999999999999
2020-08-26,126.52,126.18,126.99,125.08,163020000.0,0.013500000000000002
2020-08-27,125.01,127.14,127.48,123.83,155550000.0,-0.011899999999999999
2020-08-28,124.81,126.01,126.44,124.58,187630000.0,-0.0016
2020-08-31,129.04,127.58,131.0,126.0,225700000.0,0.0339
2020-09-01,134.18,132.76,134.8,130.53,152470000.0,0.0398
2020-09-02,131.4,137.59,137.98,127.0,200120000.0,-0.0207
2020-09-03,120.88,126.91,128.84,120.5,257600000.00000003,-0.0801
2020-09-04,120.96,120.07,123.7,110.89,332610000.0,0.0007000000000000001
2020-09-08,112.82,113.95,118.99,112.68,231370000.0,-0.0673
2020-09-09,117.32,117.26,119.14,115.26,176940000.0,0.039900000000000005
2020-09-10,113.49,120.36,120.5,112.5,182270000.0,-0.0326
2020-09-11,112.0,114.57,115.23,110.0,180860000.0,-0.0131
2020-09-14,115.36,114.72,115.93,112.8,140150000.0,0.03
2020-09-15,115.54,118.33,118.83,113.61,184640000.0,0.0016
2020-09-16,112.13,115.23,116.0,112.04,155030000.0,-0.029500000000000002
2020-09-17,110.34,109.72,112.2,108.71,178010000.0,-0.016
2020-09-18,106.84,110.4,110.88,106.09,287100000.0,-0.0317
2020-09-21,110.08,104.54,110.19,103.1,195710000.0,0.030299999999999997
2020-09-22,111.81,112.68,112.86,109.16,183060000.0,0.015700000000000002
2020-09-23,107.12,111.62,112.11,106.77,150720000.0,-0.04190000000000001
2020-09-24,108.22,105.17,110.25,105.0,167740000.0,0.0103
2020-09-25,112.28,108.43,112.44,107.67,149980000.0,0.0375
2020-09-28,114.96,115.01,115.32,112.78,137670000.0,0.0239
2020-09-29,114.09,114.55,115.31,113.57,100060000.0,-0.0076
2020-09-30,115.81,113.79,117.26,113.62,142680000.0,0.0151
2020-10-01,116.79,117.64,117.72,115.83,116120000.0,0.0085
2020-10-02,113.02,112.89,115.37,112.22,144710000.0,-0.0323
2020-10-05,116.5,113.91,116.65,113.55,106240000.0,0.0308
2020-10-06,113.16,115.7,116.12,112.25,161500000.0,-0.0287
2020-10-07,115.08,114.62,115.55,114.13,96850000.0,0.017
2020-10-08,114.97,116.25,116.4,114.59,83480000.0,-0.001
2020-10-09,116.97,115.28,117.0,114.92,100510000.0,0.0174
2020-10-12,124.4,120.06,125.18,119.28,240230000.0,0.0635
2020-10-13,121.1,125.27,125.39,119.65,262329999.99999997,-0.0265
2020-10-14,121.19,121.0,123.03,119.62,151060000.0,0.0007000000000000001
2020-10-15,120.71,118.72,121.2,118.15,112560000.0,-0.004
2020-10-16,119.02,121.28,121.55,118.81,115390000.0,-0.013999999999999999
2020-10-19,115.98,119.96,120.42,115.66,120640000.0,-0.0255
2020-10-20,117.51,116.2,118.98,115.63,124420000.0,0.0132
2020-10-21,116.87,116.67,118.7,116.45,89950000.0,-0.0054
2020-10-22,115.75,117.45,118.04,114.59,101990000.0,-0.0096
2020-10-23,115.04,116.39,116.55,114.28,82570000.0,-0.0060999999999999995
2020-10-26,115.05,114.01,116.55,112.88,111850000.0,0.0001
2020-10-27,116.6,115.49,117.28,114.54,92280000.0,0.013500000000000002
2020-10-28,111.2,115.05,115.43,111.1,143940000.0,-0.0463
2020-10-29,115.32,112.37,116.93,112.2,146130000.0,0.0371
2020-10-30,108.86,111.06,111.99,107.72,190570000.0,-0.055999999999999994
2020-11-02,108.77,109.11,110.68,107.32,122870000.0,-0.0008
2020-11-03,110.44,109.66,111.49,108.73,107620000.0,0.0154
2020-11-04,114.95,114.14,115.59,112.35,138240000.0,0.0408
2020-11-05,119.03,117.95,119.62,116.87,126390000.0,0.0355
2020-11-06,118.69,118.32,119.2,116.13,114460000.0,-0.0029
2020-11-09,116.32,120.5,121.99,116.05,154520000.0,-0.02
2020-11-10,115.97,115.55,117.59,114.13,138020000.0,-0.003
2020-11-11,119.49,117.19,119.63,116.44,112290000.0,0.0304
2020-11-12,119.21,119.62,120.53,118.57,103350000.0,-0.0023
2020-11-13,119.26,119.44,119.67,117.87,81690000.0,0.0004
2020-11-16,120.3,118.92,120.99,118.15,91180000.0,0.0087
2020-11-17,119.39,119.55,120.67,118.96,74270000.0,-0.0076
2020-11-18,118.03,118.61,119.82,118.0,76320000.0,-0.011399999999999999
2020-11-19,118.64,117.59,119.06,116.81,74110000.0,0.0052
2020-11-20,117.34,118.64,118.77,117.29,73600000.0,-0.011000000000000001
2020-11-23,113.85,117.18,117.62,113.75,127960000.0,-0.0297
2020-11-24,115.17,113.91,115.85,112.59,113870000.0,0.0116
2020-11-25,116.03,115.55,116.75,115.17,76500000.0,0.0075
2020-11-27,116.59,116.57,117.49,116.22,46690000.0,0.0048
2020-11-30,119.05,116.97,120.97,116.81,169410000.0,0.021099999999999997
2020-12-01,122.72,121.01,123.47,120.01,128169999.99999999,0.0308
2020-12-02,123.08,122.02,123.37,120.89,89000000.0,0.0029
2020-12-03,122.94,123.52,123.78,122.21,78970000.0,-0.0011
2020-12-04,122.25,122.6,122.86,121.52,78260000.0,-0.005600000000000001
2020-12-07,123.75,122.31,124.57,122.25,86710000.0,0.0123
2020-12-08,124.38,124.37,124.98,123.09,82230000.0,0.0051
2020-12-09,121.78,124.53,125.95,121.0,115090000.0,-0.0209
2020-12-10,123.24,120.5,123.87,120.15,81310000.0,0.012
2020-12-11,122.41,122.43,122.76,120.55,86940000.0,-0.0067
2020-12-14,121.78,122.6,123.35,121.54,79080000.0,-0.0051
2020-12-15,127.88,124.34,127.9,124.13,157570000.0,0.0501
2020-12-16,127.81,127.41,128.37,126.56,98210000.0,-0.0005
2020-12-17,128.7,128.9,129.58,128.04,94360000.0,0.006999999999999999
2020-12-18,126.66,128.96,129.1,126.12,192540000.0,-0.0159
2020-12-21,128.23,125.02,128.31,123.45,121250000.0,0.0124
2020-12-22,131.88,131.61,134.41,129.65,169350000.0,0.0285
2020-12-23,130.96,132.16,132.43,130.78,88220000.0,-0.006999999999999999
2020-12-24,131.97,131.32,133.46,131.1,54930000.0,0.0077
2020-12-28,136.69,133.99,137.34,133.51,124490000.0,0.0358
2020-12-29,134.87,138.05,138.79,134.34,121050000.0,-0.013300000000000001
2020-12-30,133.72,135.58,135.99,133.4,96450000.0,-0.0085
2020-12-31,132.69,134.08,134.74,131.72,99120000.0,-0.0077
2021-01-04,129.41,133.52,133.61,126.76,143300000.0,-0.024700000000000003
2021-01-05,131.01,128.89,131.74,128.43,97660000.0,0.0124
2021-01-06,126.6,127.72,131.05,126.38,155090000.0,-0.0337
2021-01-07,130.92,128.36,131.63,127.86,109580000.0,0.0341
2021-01-08,132.05,132.43,132.63,130.23,105160000.0,0.0086
2021-01-11,128.98,129.19,130.17,128.5,100620000.0,-0.0232
2021-01-12,128.8,128.5,129.69,126.86,91950000.0,-0.0014000000000000002
2021-01-13,130.89,128.76,131.45,128.49,88640000.0,0.016200000000000003
2021-01-14,128.91,130.8,131.0,128.76,90220000.0,-0.0151
2021-01-15,127.14,128.78,130.22,127.0,111600000.0,-0.0137
2021-01-19,127.83,127.78,128.71,126.94,90760000.0,0.0054
2021-01-20,132.03,128.66,132.49,128.55,104320000.0,0.0329
2021-01-21,136.87,133.8,139.67,133.59,120530000.0,0.036699999999999997
2021-01-22,139.07,136.28,139.85,135.02,114460000.0,0.0161
2021-01-25,142.92,143.07,145.09,136.54,157610000.0,0.0277
2021-01-26,143.16,143.6,144.3,141.37,98390000.0,0.0017000000000000001
2021-01-27,142.06,143.43,144.3,140.41,140840000.0,-0.0077
2021-01-28,137.09,139.52,141.99,136.7,142620000.0,-0.035
2021-01-29,131.96,135.83,136.74,130.21,177520000.0,-0.0374
2021-02-01,134.14,133.75,135.38,130.93,106240000.0,0.0165
2021-02-02,134.99,135.73,136.31,134.61,83310000.0,0.0063
2021-02-03,133.94,135.76,135.77,133.61,89880000.0,-0.0078000000000000005
2021-02-04,137.39,136.3,137.4,134.59,84180000.0,0.0258
2021-02-05,136.76,137.35,137.42,135.86,75690000.0,-0.0046
2021-02-08,136.91,136.03,136.96,134.92,71300000.0,0.0011
2021-02-09,136.01,136.62,137.88,135.85,76770000.0,-0.0066
2021-02-10,135.39,136.48,136.99,134.4,73050000.0,-0.0046
2021-02-11,135.13,135.9,136.39,133.77,64280000.0,-0.0019
2021-02-12,135.37,134.35,135.53,133.69,60150000.0,0.0018
2021-02-16,133.19,135.49,136.01,132.79,80580000.0,-0.0161
2021-02-17,130.84,131.25,132.22,129.47,98090000.0,-0.0176
2021-02-18,129.71,129.2,130.0,127.41,96860000.0,-0.0086
2021-02-19,129.87,130.24,130.71,128.8,87670000.0,0.0012
2021-02-22,126.0,128.01,129.72,125.6,103920000.0,-0.0298
2021-02-23,125.86,123.76,126.71,118.39,158270000.0,-0.0011
2021-02-24,125.35,124.94,125.56,122.23,111040000.0,-0.0040999999999999995
2021-02-25,120.99,124.68,126.46,120.54,148200000.0,-0.0348
2021-02-26,121.26,122.59,124.85,121.2,164560000.0,0.0022
2021-03-01,127.79,123.75,127.93,122.79,116310000.0,0.053899999999999997
2021-03-02,125.12,128.41,128.72,125.01,102260000.0,-0.0209
2021-03-03,122.06,124.81,125.71,121.84,112970000.0,-0.0245
2021-03-04,120.13,121.75,123.6,118.62,178150000.0,-0.0158
2021-03-05,121.42,120.98,121.94,117.57,153770000.0,0.010700000000000001
2021-03-08,116.36,120.93,121.0,116.21,154380000.0,-0.0417
2021-03-09,121.08,119.03,122.06,118.79,129530000.0,0.0406
2021-03-10,119.98,121.69,122.17,119.45,111940000.0,-0.0091
2021-03-11,121.96,122.54,123.21,121.26,103030000.0,0.0165
2021-03-12,121.03,120.4,121.17,119.16,88110000.0,-0.0076
2021-03-15,123.99,121.41,124.0,120.42,92590000.0,0.0245
2021-03-16,125.57,125.7,127.22,124.72,115230000.0,0.0127
2021-03-17,124.76,124.05,125.86,122.34,111930000.0,-0.006500000000000001
2021-03-18,120.53,122.88,123.18,120.32,121470000.0,-0.0339
2021-03-19,119.99,119.9,121.43,119.67,185550000.0,-0.0045000000000000005
2021-03-22,123.39,120.33,123.87,120.26,111910000.0,0.028300000000000002
2021-03-23,122.54,123.33,124.24,122.14,95470000.0,-0.0069
2021-03-24,120.09,122.82,122.9,120.06,88530000.0,-0.02
2021-03-25,120.59,119.54,121.66,119.0,98840000.0,0.0042
2021-03-26,121.21,120.35,121.48,118.92,94070000.0,0.0051
2021-03-29,121.39,121.65,122.58,120.73,80820000.0,0.0015
2021-03-30,119.9,120.11,120.4,118.86,85670000.0,-0.0123
